timestamps,open,high,low,close,volume,amount
2024-06-05,814.8371589178223,830.339411643964,809.0238141455193,827.4327392578125,31975446,26457530872.770264
2024-06-06,865.2194637153506,871.0328083763719,857.4683375006554,866.1883544921875,62925136,54505020008.03711
2024-06-07,857.4683127549728,860.3749850015998,851.6549682617188,851.6549682617188,41075399,34982067631.682434
2024-06-11,864.2505958358402,867.1572682433598,855.5305786132812,855.5305786132812,48228488,41260946244.28369
2024-06-12,860.3749742161716,885.5661333711496,860.3749742161716,880.7216796875,48106925,42368811790.600586
2024-06-13,897.7427154972711,909.4143434343971,886.0710875601452,893.8521728515625,55857091,49927982159.517456
2024-06-14,890.9341453171603,896.7699584960938,880.2351544891159,896.7699584960938,38408123,34443250868.62286
2024-06-17,888.0162786924877,899.6879055756311,888.0162786924877,895.79736328125,26292426,23552685885.067383
2024-06-18,918.1680091380567,924.0038227554596,914.2774667264548,917.1953735351562,37876013,34739703891.557434
2024-06-19,926.9217802430754,957.0734855815175,926.9217802430754,954.1555786132812,72228052,68916798748.17017
2024-06-20,944.4292220524934,954.1555786132812,944.4292220524934,954.1555786132812,48225374,46014509632.81189
2024-06-21,934.7028224669781,951.237627859214,933.7301868556701,943.45654296875,88376132,83379039977.66992
2024-06-24,931.7849066551696,933.7301778590426,914.2774658203125,914.2774658203125,66391994,60700704025.07739
2024-06-25,899.6879731031952,919.1406860351562,897.7427018099992,919.1406860351562,57368432,52729659945.24121
2024-06-26,924.9765037536621,933.730224609375,924.9765037536621,933.730224609375,44967166,41987202009.22705
2024-06-27,924.9765037536621,934.7028602600097,923.0312324523926,933.730224609375,39729446,37096584537.186035
2024-06-28,929.839683516919,944.4292183001343,928.8670478647047,939.5660400390625,39138210,36772932983.91724
2024-07-01,941.51123046875,950.2649505867446,938.5933237627518,941.51123046875,19935737,18769720273.171387
2024-07-02,940.5386741638184,944.4292167663574,932.7575889587403,933.730224609375,25427569,23742489713.64038
2024-07-03,949.292359271259,952.2102661132812,940.5386387451921,952.2102661132812,24070411,22920092463.766052
2024-07-04,972.6356012904229,982.3619573033271,969.7176944865516,977.498779296875,41893299,40950648633.218994
2024-07-05,977.498779296875,982.3619573033271,972.6356012904229,977.498779296875,19998094,19548112473.26416
2024-07-08,977.4987288765285,1021.2673286769701,972.6355511209239,1006.6777954101562,40146763,40414854869.69403
2024-07-09,1001.8146597055288,1026.1305495042068,996.9514817457932,1011.541015625,46373121,46908313914.041016
2024-07-10,992.0882854552931,1021.2673526745664,987.2251075854142,1016.4041748046875,46206302,46964278255.08618
2024-07-11,1035.8568776448567,1050.4464111328125,1026.1305219862195,1050.4464111328125,41724336,43829179008.09961
2024-07-12,1001.8146597055288,1016.4041935847356,996.9514817457932,1011.541015625,68983062,69779196596.40234
2024-07-15,1011.541015625,1016.4041935847356,996.9514817457932,1011.541015625,38393309,38836406779.06445
2024-07-16,1011.5410804206161,1040.720150048134,1006.6779021493631,1026.130615234375,32125609,32965070927.948975
2024-07-17,1006.6777527448044,1016.404107843788,992.0882200963289,1001.8145751953125,54022399,54120426705.216675
2024-07-18,960.9639740749378,977.498779296875,959.018702872357,977.498779296875,81990095,80145217776.93481
2024-07-19,960.9639839722938,967.7724332514498,943.45654296875,943.45654296875,92507621,87276920306.92334
2024-07-22,937.6208243893104,938.5934600992579,912.3322959306776,913.304931640625,83062356,75861259368.48926
2024-07-23,936.6480962891623,952.2102661132812,929.8396469911103,952.2102661132812,47213266,44956956581.93713
2024-07-26,889.9616112647118,904.5511458756088,889.9616112647118,898.71533203125,82081735,73768113724.22607
2024-07-29,916.2227585356114,922.0585722842459,910.386944786977,918.1680297851562,40809258,37469756014.854126
2024-07-30,904.5511098009475,923.031186237741,900.6605673932015,914.2774658203125,41761392,38181499646.88867
2024-07-31,903.5785330990908,914.2775254178098,902.6058974337526,908.4417114257812,39894991,36242273901.35614
2024-08-01,942.4839454650879,942.4839454650879,922.0585968017579,933.730224609375,47382270,44242257609.60205
2024-08-02,892.8795125460704,902.6058688918881,878.2899780273438,878.2899780273438,76144485,66876938057.553406
2024-08-05,828.6855783287001,833.548756605277,790.7527877714004,792.6980590820312,144057989,114194488275.56061
2024-08-06,844.2477447509766,870.5089073181152,817.0139465332031,855.9193725585938,102930842,88100501701.56775
2024-08-07,876.3447511092476,894.8248291015625,868.5636656387992,894.8248291015625,59158704,52936677196.66992
2024-08-08,876.3447457722255,880.2352884837559,862.727846281869,871.4815673828125,38236391,33322309959.742065
2024-08-09,901.6332617684145,908.4417114257812,896.7700834417241,908.4417114257812,49494621,44962978207.61041
2024-08-12,916.2227370241856,922.0585506358045,905.523745402884,914.2774658203125,38331663,35045775708.31824
2024-08-13,919.1406032712249,919.1406032712249,911.3595187990876,915.2500610351562,25764381,23580851282.78302
2024-08-14,924.9765006922469,928.8670432819093,919.1406868077531,922.05859375,36780856,33914104360.28125
2024-08-15,919.1406447409572,924.0038227554596,915.2501023293553,917.1953735351562,19476402,17863665807.510864
2024-08-16,936.6481338359255,942.4839477539062,931.7849555709414,942.4839477539062,44062316,41528025530.86011
2024-08-19,942.4839082347403,948.3197219080204,937.6207301736736,946.3744506835938,21348863,20204018494.3443
2024-08-20,950.2649931324471,950.2649931324471,941.5112726225269,946.3744506835938,24039959,22750802993.081116
2024-08-21,934.7028189322646,937.620725755154,929.8396408941154,931.784912109375,29758188,27728230590.114258
2024-08-22,931.7848895180238,937.620703022312,922.0585336775433,924.9764404296875,24349754,22522948780.258545
2024-08-23,918.168071654373,925.9491570073761,913.304893308746,923.03125,27592153,25468419473.78125
2024-08-26,930.8123560855263,934.7028988486842,919.1407277960526,924.00390625,25057581,23153302725.17578
2024-08-27,919.1406240281026,920.1132596090847,914.2774461231919,916.2227172851562,18693037,17126985154.451965
2024-08-28,919.1406509589358,937.6207275390625,917.1953797399751,937.6207275390625,31059233,29121780642.26526
2024-08-29,916.2227379322558,921.0859159467582,911.3595599177534,917.1953735351562,43530708,39926163984.309814
2024-08-30,918.1680297851562,925.9491147833355,915.250122910839,918.1680297851562,63834981,58611238736.14288
2024-09-02,924.0038650448312,928.8670432819093,917.195415512922,922.05859375,18646835,17193474457.98828
2024-09-03,922.0585506358045,925.9490930435505,913.304830218376,914.2774658203125,19547575,17871907333.932495
2024-09-04,869.5362125907358,880.2352040208232,863.7003990834154,864.6730346679688,79709021,68922241078.48285
2024-09-05,882.180561209465,889.9616466446092,875.372111453714,877.3173828125,30512026,26768730794.626953
2024-09-06,884.1257958505668,892.8795166015625,878.2899820165696,892.8795166015625,24458336,21838347224.558594
2024-09-09,867.5909042273533,875.3719885701995,866.6182686844975,874.3993530273438,35885268,31378055122.41284
2024-09-10,882.1805412495031,886.0710838790488,876.3447273051844,879.2626342773438,33498628,29454091899.956787
2024-09-11,881.2078434714467,881.2078434714467,875.3720299385232,876.3446655273438,18029342,15799917684.66809
